Zip code,Type of Property,Price (€),Bedrooms,Living area (m²),Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Kitchen type scale,Building condition scale,Region
1341,0,415000,2.0,139.0,0,0.0,1.0,44.0,0.0,0.0,2757.377881205674,4.0,0,1.0,5.0,1.0
1180,0,159000,1.0,30.0,1,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.976151101053181,0,1.0,3.0,2.0
1332,1,530000,4.0,176.0,0,0.0,1.0,18.028500959166895,0.0,0.0,362.0,4.0,0,1.0,3.0,1.0
1000,0,340000,2.0,70.0,1,0.0,1.0,20.0,0.0,0.0,2757.377881205674,2.0,0,1.0,4.0,2.0
9000,0,459000,2.0,95.0,0,0.0,1.0,21.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,1.0,5.0,3.0
1020,1,730000,6.0,300.0,0,0.0,1.0,10.0,1.0,320.0,506.0,2.0,0,1.0,1.0,2.0
1150,1,695000,4.0,188.0,0,0.0,1.0,18.0,1.0,75.0,161.0,2.0,0,1.0,3.0,2.0
9300,0,508000,2.0,230.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,3.0
4841,1,235000,5.0,230.0,0,0.0,0.0,0.0,1.0,339.0,432.0,3.0,0,1.0,3.0,1.0
9120,1,339000,3.0,124.0,0,1.0,0.0,0.0,0.0,0.0,550.0,2.976151101053181,0,0.9500049014802471,2.0,3.0
8760,1,215000,4.0,210.0,0,0.0,0.0,0.0,1.0,174.0,281.0,2.976151101053181,0,1.0,2.0,3.0
8570,0,192500,3.0,108.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.976151101053181,0,1.0,5.0,3.0
8550,0,269000,2.0,90.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
8550,0,275000,2.0,89.0,0,0.0,1.0,18.028500959166895,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
8420,0,478000,3.0,120.0,1,1.0,0.0,0.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
1350,1,389000,3.0,190.0,0,0.0,0.0,0.0,1.0,450.0,648.0,2.976151101053181,0,0.9500049014802471,3.382284797718767,1.0
2970,1,645000,4.0,250.0,0,1.0,1.0,18.028500959166895,1.0,402.07499802011563,1020.0,2.976151101053181,0,0.9500049014802471,2.0,3.0
8300,0,875000,3.0,117.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,4.0,3.0
2100,0,174000,2.0,82.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
8450,0,305000,3.0,143.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
8450,0,299000,3.0,143.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
8377,1,769000,5.0,351.0,0,0.0,0.0,0.0,1.0,402.07499802011563,3699.0,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
1070,0,199000,2.0,86.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,1.0,2.0
1000,0,319000,2.0,96.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,2.0
8000,1,395000,3.0,130.0,0,0.0,0.0,0.0,0.0,0.0,130.0,2.976151101053181,0,1.0,5.0,3.0
8620,0,199000,1.0,50.0,0,0.0,0.0,0.0,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,4.0,3.0
8670,0,590000,2.0,83.0,0,0.0,1.0,18.028500959166895,1.0,402.07499802011563,2757.377881205674,2.976151101053181,0,0.9500049014802471,5.0,3.0
9031,1,675000,4.0,225.0,0,1.0,0.0,0.0,0.0,0.0,1293.0,4.0,0,1.0,3.0,3.0
2390,1,412900,2.0,150.0,0,0.0,0.0,0.0,1.0,450.0,639.0,4.0,0,0.9500049014802471,3.0,3.0
1910,1,750000,4.0,306.0,0,0.0,1.0,28.0,0.0,0.0,3113.0,3.0,1,1.0,3.0,3.0
8300,0,675000,2.0,100.0,0,0.0,1.0,15.0,0.0,0.0,2757.377881205674,2.0,0,1.0,1.0,3.0
4590,0,189000,2.0,105.0,0,0.0,1.0,15.0,1.0,70.0,2757.377881205674,2.976151101053181,0,1.0,3.0,1.0
1970,1,775000,3.0,200.0,0,0.0,1.0,18.028500959166895,0.0,0.0,669.0,4.0,0,1.0,3.0,3.0
1831,1,675000,5.0,200.0,0,0.0,1.0,18.028500959166895,1.0,150.0,234.0,3.0,0,1.0,5.0,3.0
1170,0,195000,1.0,51.0,0,0.0,1.0,2.0,0.0,0.0,2757.377881205674,2.0,1,1.0,3.0,2.0
1080,0,265000,2.0,106.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,4.0,0,1.0,3.0,2.0
6950,1,325000,4.0,235.0,0,0.0,0.0,0.0,0.0,0.0,122.0,2.0,0,1.0,3.0,1.0
1000,0,530000,2.0,156.0,0,0.0,1.0,40.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,2.0
1080,0,530000,2.0,156.0,0,0.0,1.0,40.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,2.0
1190,0,260000,1.0,55.0,0,0.0,1.0,25.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,2.0
9800,0,370000,2.0,82.0,0,0.0,1.0,28.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,3.0
9800,0,395000,2.0,85.0,0,0.0,1.0,28.0,0.0,0.0,2757.377881205674,2.0,0,1.0,5.0,3.0
9031,0,349000,2.0,118.0,0,0.0,1.0,9.0,0.0,0.0,2757.377881205674,3.0,0,1.0,3.0,3.0
9890,0,421000,3.0,146.0,0,0.0,1.0,11.0,0.0,0.0,2757.377881205674,4.0,0,1.0,5.0,3.0
8800,0,250000,2.0,110.0,0,0.0,1.0,18.0,0.0,0.0,2757.377881205674,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
